city,no_of_orders_top10_users,number_of_orders,percentage_of_top_10_users_on_total_orders
Φιλιατρά,10,10,1.0
Άνδρος,8,8,1.0
Γαργαλιάνοι,14,14,1.0
Βασιλικό,8,8,1.0
Λεωνίδιο,2,2,1.0
Αλίαρτος,23,23,1.0
Ιστιαία,21,26,0.80769230769230771
Μεγαλόπολη,31,40,0.775
Νάξος,35,47,0.74468085106382975
Αράχωβα,32,44,0.72727272727272729
Οινόφυτα,43,66,0.65151515151515149
Αίγινα,40,66,0.60606060606060608
Ηγουμενίτσα,39,70,0.55714285714285716
Αμαλιάδα,90,164,0.54878048780487809
Γύθειο,92,183,0.50273224043715847
Αλεξάνδρεια,122,305,0.4
Λέρος,179,551,0.32486388384754988
Ναύπακτος,342,1204,0.28405315614617938
Λευκάδα,369,1386,0.26623376623376621
Αριδαία,84,364,0.23076923076923078
Μύκονος,51,229,0.22270742358078602
Νάουσα,275,1766,0.15571913929784825
Έδεσσα,208,1659,0.12537673297166968
Μεσολόγγι,397,3272,0.12133251833740831
Λιβαδειά,270,2358,0.11450381679389313
Φλώρινα,230,2157,0.10662957811775614
Άργος,266,2595,0.102504816955684
Διδυμότειχο,344,3552,0.096846846846846843
Ζάκυνθος,252,3018,0.083499005964214709
Γρεβενά,332,4630,0.071706263498920092
Θήβα,391,5546,0.070501262170934012
Γιαννιτσά,245,3578,0.0684740078256009
Αίγιο,433,7369,0.058759668883159179
Ναύπλιο,399,6895,0.057868020304568529
Άρτα,371,6985,0.053113815318539731
Βέροια,528,15237,0.034652490647765308
Ορεστιάδα,457,14822,0.030832546215085684
Δράμα,483,19173,0.025191675794085433
Αλεξανδρούπολη,483,24933,0.019371916736854771
Αγρίνιο,612,33332,0.018360734429377176
Λαμία,622,36008,0.017273939124638968
Ξάνθη,631,49401,0.012773020789052854
Ρόδος,626,50730,0.012339838359944805
Βόλος,692,77529,0.0089256923215828912
Ιωάννινα,477,67972,0.0070175954804919671
Λάρισα,537,84943,0.0063218864414960625